#{"t_start": 1739541471.934311, "env_id": "supertuxkart/full-v0"}
r,l,t
-114.243571,1500,3.617224
-112.116431,1500,6.017309
-115.708825,1500,8.161542
-64.699994,1500,10.429556
-82.565956,1500,12.662014
-94.781836,1500,15.118307
-17.772011,1500,16.972368
-99.982824,1500,19.693623
-112.138928,1500,21.826879
-95.443536,1500,23.803188
-110.973097,1500,27.297303
-98.829285,1500,29.917618
-94.819823,1500,32.421873
-122.25206,1500,34.511579
-134.195389,1500,37.383535
-148.665015,1500,40.100149
-76.786661,1500,42.506291
-97.717215,1500,44.768739
-115.692528,1500,46.834087
-146.983764,1500,49.645152
-105.606279,1500,52.479586
-109.200035,1500,55.172911
-123.180626,1500,57.25902
-118.371526,1500,59.706642
-119.998835,1500,62.170676
-118.208288,1500,64.347763
-95.343239,1500,66.777814
-83.629434,1500,69.170261
-85.947969,1500,71.537467
-59.307159,1500,74.09117
-124.447957,1500,76.485402
-126.740692,1500,78.430079
-137.750632,1500,80.465438
-145.061152,1500,83.09494
-120.339388,1500,85.747609
-75.231516,1500,88.197405
-140.858382,1500,91.492372
-118.729944,1500,96.802414
-83.639009,1500,99.076163
-115.863223,1500,104.380088
-44.24953,1500,107.447642
-145.690234,1500,112.493897
-106.147757,1500,115.054121
-110.059398,1500,117.215829
-104.062387,1500,118.996555
-121.299049,1500,121.824778
-99.286918,1500,124.285798
-114.352087,1500,126.72228
-93.907886,1500,129.5854
-123.536674,1500,132.101641
-55.147757,1500,134.867736
-89.244318,1500,140.318615
-148.518015,1500,143.38116
-115.854861,1500,148.67592
-145.993394,1500,150.884501
-118.817082,1500,156.061723
-120.228893,1500,159.203141
-100.296021,1500,161.655215
-123.348839,1500,163.566465
-98.648628,1500,165.968442
-58.285464,1500,168.510242
-66.301276,1500,171.097345
-141.928118,1500,173.37742
-97.322987,1500,175.627849
-42.466663,1500,178.270825
-139.42406,1500,180.708096
-116.243065,1500,183.186782
-121.07947,1500,185.202759
-117.055256,1500,187.334754
-98.320897,1500,191.545143
-92.058357,1500,194.878078
-46.110181,1500,197.702349
-123.275638,1500,200.042056
-44.195459,1500,203.308603
-74.591574,1500,205.748982
-47.177332,1500,208.207006
-97.866145,1500,211.389005
-135.789211,1500,216.786151
-126.235773,1500,218.861518
-92.392535,1500,222.139994
-79.16512,1500,224.883644
-135.138928,1500,226.859837
-111.19129,1500,229.298827
-71.092151,1500,231.825549
-81.346727,1500,234.211777
-78.281403,1500,236.370214
-147.361301,1500,239.037262
-144.372535,1500,242.384786
-144.633307,1500,244.689248
-87.809192,1500,246.99683
-149.037221,1500,249.226831
